City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Andenes,NO,2021-11-06 11:36:44,69.3143,16.1194,37.38,93,20,2.3
119,Sault Sainte Marie,CA,2021-11-06 11:36:45,46.5168,-84.3333,45.16,74,40,8.05
120,Port Blair,IN,2021-11-06 11:36:45,11.6667,92.75,82.31,78,99,8.08
121,Grindavik,IS,2021-11-06 11:36:46,63.8424,-22.4338,35.55,100,90,18.41
122,Kazachinskoye,RU,2021-11-06 11:36:46,57.6953,93.2761,25.36,91,100,11.01
123,Avanigadda,IN,2021-11-06 11:36:47,16.0215,80.9181,86.14,81,100,6.24
124,Naco,MX,2021-11-06 11:36:47,31.3347,-109.9483,57.78,35,10,1.16
125,Nuevo Progreso,MX,2021-11-06 11:36:47,23.1667,-97.95,67.59,82,10,1.01
126,Rochefort,FR,2021-11-06 11:36:48,45.9167,-1.0,52.48,68,4,5.7
127,Ambilobe,MG,2021-11-06 11:36:48,-13.2,49.05,89.44,48,54,9.93
128,Grand Gaube,MU,2021-11-06 11:36:49,-20.0064,57.6608,82.8,65,3,11.01
129,Bluff,NZ,2021-11-06 11:36:49,-46.6,168.3333,53.8,85,100,5.93
130,Hobart,AU,2021-11-06 11:35:30,-42.8794,147.3294,64.26,82,75,1.01
131,Ambulu,ID,2021-11-06 11:36:50,-8.345,113.6058,79.03,88,100,4.74
132,Sao Joao Da Barra,BR,2021-11-06 11:36:50,-21.6403,-41.0511,75.29,71,56,7.45
133,Laguna,US,2021-11-06 11:32:24,38.421,-121.4238,58.21,91,1,1.01
134,Tabas,IR,2021-11-06 11:36:51,33.5959,56.9244,64.33,8,77,7.25
135,Piacabucu,BR,2021-11-06 11:36:51,-10.4056,-36.4344,84.52,61,97,11.63
136,Bethel,US,2021-11-06 11:37:52,41.3712,-73.414,38.48,90,1,0.0
137,Gornyy,RU,2021-11-06 11:37:52,55.1153,83.9059,21.96,93,100,14.38
138,Yar-Sale,RU,2021-11-06 11:37:53,66.8333,70.8333,32.94,98,100,18.25
139,Ossora,RU,2021-11-06 11:37:53,59.2353,163.0719,15.12,92,24,4.45
140,Belyy Yar,RU,2021-11-06 11:37:54,53.6039,91.3903,33.69,73,0,11.18
141,Belaya Gora,RU,2021-11-06 11:37:54,68.5333,146.4167,7.11,96,100,7.78
142,Coihaique,CL,2021-11-06 11:36:04,-45.5752,-72.0662,44.55,81,20,9.22
143,Slave Lake,CA,2021-11-06 11:37:55,55.2834,-114.769,37.38,87,90,14.97
144,Kloulklubed,PW,2021-11-06 11:37:55,7.0419,134.2556,79.3,75,98,10.96
145,West Bay,KY,2021-11-06 11:37:56,19.3667,-81.4167,79.0,91,40,1.01
146,Provideniya,RU,2021-11-06 11:37:56,64.3833,-173.3,6.31,80,3,8.3
147,Ankang,CN,2021-11-06 11:37:57,32.68,109.0172,45.07,80,100,9.69
148,Koumac,NC,2021-11-06 11:37:57,-20.5667,164.2833,70.18,75,10,6.98
149,Lebu,CL,2021-11-06 11:37:57,-37.6167,-73.65,54.7,84,56,4.43
150,Vidalia,US,2021-11-06 11:37:58,32.2177,-82.4135,46.4,87,75,9.22
151,Talnakh,RU,2021-11-06 11:37:58,69.4865,88.3972,4.03,94,100,12.59
152,Hasaki,JP,2021-11-06 11:37:59,35.7333,140.8333,57.6,61,58,10.07
153,Wagar,SD,2021-11-06 11:37:59,16.1525,36.2032,97.59,20,4,1.68
154,Galle,LK,2021-11-06 11:38:00,6.0367,80.217,80.02,82,97,14.05
155,Monteagudo,BO,2021-11-06 11:38:01,-19.8167,-63.9833,53.38,91,100,2.73
156,Masvingo,ZW,2021-11-06 11:38:01,-20.0637,30.8277,98.44,12,33,9.51
